device,useragent
linux,"Mozilla/5.0 (U; Linux i574 ) AppleWebKit/601.14 (KHTML, like Gecko) Chrome/53.0.3476.252 Safari/602"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_1_0; like Mac OS X) AppleWebKit/537.47 (KHTML, like Gecko) Chrome/52.0.1741.362 Mobile Safari/536.2"
mobile,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_9_6; like Mac OS X) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/54.0.2516.369 Mobile Safari/600.1"
android,"Mozilla/5.0 (Linux; Android 6.0.1; HTC One0P6B dual sim Build/MRA58K) AppleWebKit/602.40 (KHTML, like Gecko) Chrome/52.0.3873.337 Mobile Safari/537.6"
android,"Mozilla/5.0 (Linux; Android 4.4.1; GT-I9505I Build/KOT49H) AppleWebKit/536.18 (KHTML, like Gecko) Chrome/55.0.1738.195 Mobile Safari/600.9"
edge,"Mozilla/5.0 (Windows NT 10.4; Win64; x64; en-US) AppleWebKit/537.46 (KHTML, like Gecko) Chrome/48.0.1201.129 Safari/533.1 Edge/13.74488"
mobile,"Mozilla/5.0 (iPad; CPU iPad OS 7_1_6 like Mac OS X) AppleWebKit/535.44 (KHTML, like Gecko) Chrome/54.0.3911.371 Mobile Safari/600.3"
mobile,"Mozilla/5.0 (iPad; CPU iPad OS 11_0_1 like Mac OS X) AppleWebKit/536.8 (KHTML, like Gecko) Chrome/50.0.1971.346 Mobile Safari/603.4"
firefox,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_0_8) Gecko/20130401 Firefox/53.1
android,"Mozilla/5.0 (Android; Android 5.0.2; Nokia 1100 LTE Build/GRK39F) AppleWebKit/603.24 (KHTML, like Gecko) Chrome/50.0.1585.212 Mobile Safari/601.6"
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.3; Win64; x64; en-US) AppleWebKit/602.23 (KHTML, like Gecko) Chrome/50.0.2073.296 Safari/601.3 Edge/8.98116"
windows,"Mozilla/5.0 (Windows; U; Windows NT 10.3;; en-US) AppleWebKit/602.31 (KHTML, like Gecko) Chrome/47.0.3070.345 Safari/600"
firefox,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 7_5_6) Gecko/20130401 Firefox/67.4
chrome,"Mozilla/5.0 (Linux; U; Linux i576 x86_64; en-US) AppleWebKit/535.32 (KHTML, like Gecko) Chrome/52.0.3665.390 Safari/603"
mobile,"Mozilla/5.0 (Linux; Android 5.0.2; LG-D727 Build/LRX22G) AppleWebKit/536.47 (KHTML, like Gecko) Chrome/48.0.3616.120 Mobile Safari/537.5"
mobile,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_1_9; like Mac OS X) AppleWebKit/533.6 (KHTML, like Gecko) Chrome/49.0.3357.321 Mobile Safari/534.3"
chrome,"Mozilla/5.0 (Windows; Windows NT 10.2;) AppleWebKit/535.21 (KHTML, like Gecko) Chrome/49.0.3712.233 Safari/533"
mobile,"Mozilla/5.0 (Linux; U; Android 5.0.2; SM-P355 Build/LRX22G) AppleWebKit/600.16 (KHTML, like Gecko) Chrome/49.0.2261.275 Mobile Safari/533.7"
mobile,"Mozilla/5.0 (Linux; U; Android 5.1.1; MOTO G XT1068 Build/LPC23) AppleWebKit/601.46 (KHTML, like Gecko) Chrome/54.0.3887.122 Mobile Safari/533.7"
linux,Mozilla/5.0 (Linux; Linux x86_64) Gecko/20100101 Firefox/61.1
mac,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_12_1; en-US) Gecko/20100101 Firefox/71.6
windows,"Mozilla/5.0 (Windows; Windows NT 10.5; WOW64; en-US) AppleWebKit/534.25 (KHTML, like Gecko) Chrome/54.0.1251.344 Safari/600"
mac,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_0_0; en-US) Gecko/20100101 Firefox/73.4
chrome,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_11_1; en-US) AppleWebKit/533.30 (KHTML, like Gecko) Chrome/49.0.1006.289 Safari/603"
chrome,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/534.46 (KHTML, like Gecko) Chrome/52.0.3164.187 Safari/534"
chrome,"Mozilla/5.0 (Windows; Windows NT 6.1;; en-US) AppleWebKit/600.21 (KHTML, like Gecko) Chrome/54.0.2645.266 Safari/534"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_3_3; like Mac OS X) AppleWebKit/537.12 (KHTML, like Gecko) Chrome/52.0.3097.397 Mobile Safari/537.9"
chrome,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_2_7; en-US) AppleWebKit/534.13 (KHTML, like Gecko) Chrome/53.0.3100.330 Safari/536"
chrome,"Mozilla/5.0 (Windows NT 10.4; x64; en-US) AppleWebKit/601.29 (KHTML, like Gecko) Chrome/54.0.1867.184 Safari/603"
firefox,Mozilla/5.0 (Windows; U; Windows NT 10.0; Win64; x64) Gecko/20100101 Firefox/69.9
firefox,Mozilla/5.0 (Windows; U; Windows NT 6.3; Win64; x64; en-US) Gecko/20100101 Firefox/45.5
edge,"Mozilla/5.0 (Windows; Windows NT 10.1; Win64; x64) AppleWebKit/536.8 (KHTML, like Gecko) Chrome/47.0.1131.161 Safari/600.5 Edge/17.12563"
android,"Mozilla/5.0 (Android; Android 6.0.1; HTC One_M8 Build/MRA58K) AppleWebKit/535.18 (KHTML, like Gecko) Chrome/49.0.3247.110 Mobile Safari/535.8"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_7_6; like Mac OS X) AppleWebKit/601.12 (KHTML, like Gecko) Chrome/53.0.3309.321 Mobile Safari/602.5"
linux,Mozilla/5.0 (Linux; Linux x86_64) Gecko/20100101 Firefox/71.8
android,"Mozilla/5.0 (Linux; U; Android 7.1.1; SAMSUNG GT-I9100 Build/KTU84P) AppleWebKit/535.17 (KHTML, like Gecko) Chrome/51.0.1607.158 Mobile Safari/600.1"
explorer,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.0;; en-US Trident/4.0)
firefox,Mozilla/5.0 (U; Linux x86_64) Gecko/20100101 Firefox/53.9
android,"Mozilla/5.0 (Android; Android 5.0; LG-D337 Build/LRX22G) AppleWebKit/603.8 (KHTML, like Gecko) Chrome/51.0.1860.279 Mobile Safari/600.2"
chrome,"Mozilla/5.0 (Windows NT 6.2;) AppleWebKit/602.28 (KHTML, like Gecko) Chrome/50.0.3445.350 Safari/602"
edge,"Mozilla/5.0 (Windows NT 10.2; WOW64; en-US) AppleWebKit/603.30 (KHTML, like Gecko) Chrome/53.0.2621.181 Safari/603.8 Edge/8.34473"
windows,Mozilla/5.0 (Windows NT 6.0;; en-US) Gecko/20100101 Firefox/65.5
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_6; like Mac OS X) AppleWebKit/536.19 (KHTML, like Gecko) Chrome/51.0.2558.137 Mobile Safari/535.1"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_5_7; like Mac OS X) AppleWebKit/602.1 (KHTML, like Gecko) Chrome/53.0.3510.165 Mobile Safari/602.6"
mac,Mozilla/5.0 (Macintosh; Intel Mac OS X 8_6_9; en-US) Gecko/20100101 Firefox/62.0
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_1_9; like Mac OS X) AppleWebKit/537.29 (KHTML, like Gecko) Chrome/53.0.3057.279 Mobile Safari/535.2"
mobile,"Mozilla/5.0 (iPad; CPU iPad OS 9_7_6 like Mac OS X) AppleWebKit/603.48 (KHTML, like Gecko) Chrome/54.0.3925.193 Mobile Safari/603.5"
linux,"Mozilla/5.0 (Linux; Linux x86_64) AppleWebKit/600.25 (KHTML, like Gecko) Chrome/54.0.3435.243 Safari/601"
mac,Mozilla/5.0 (Macintosh; Intel Mac OS X 8_3_1; en-US) Gecko/20130401 Firefox/58.9
chrome,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_1) AppleWebKit/533.46 (KHTML, like Gecko) Chrome/54.0.3657.264 Safari/600"
mac,Mozilla/5.0 (Macintosh; Intel Mac OS X 8_0_8; en-US) Gecko/20100101 Firefox/67.0
windows,"Mozilla/5.0 (Windows; U; Windows NT 6.0; Win64; x64) AppleWebKit/534.45 (KHTML, like Gecko) Chrome/50.0.2577.100 Safari/536.6 Edge/18.38548"
mac,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 9_6_5) AppleWebKit/600.41 (KHTML, like Gecko) Chrome/51.0.2592.118 Safari/536"
edge,"Mozilla/5.0 (Windows; Windows NT 10.2; x64; en-US) AppleWebKit/601.25 (KHTML, like Gecko) Chrome/54.0.1300.129 Safari/534.2 Edge/17.74160"
firefox,Mozilla/5.0 (Linux; Linux i581 ) Gecko/20130401 Firefox/64.3
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_4_7; like Mac OS X) AppleWebKit/534.44 (KHTML, like Gecko) Chrome/52.0.3383.143 Mobile Safari/601.3"
